Date,Business,Revenue,Unemployment rate
2017-05-31,Business Y,123886343.9646,4.1849
2017-05-31,Business Z,75052967.1142,4.1849
2017-06-30,Business X,114101979.8639,4.2269
2017-06-30,Business Y,129260682.1631,4.2269
2017-06-30,Business Z,62676907.5125,4.2269
2017-07-31,Business X,89976536.5979,4.2689
2017-07-31,Business Y,136880888.4614,4.2689
2017-07-31,Business Z,84078297.4416,4.2689
2017-08-31,Business X,93069200.9175,4.3109
2017-08-31,Business Y,128882594.0549,4.3109
2017-08-31,Business Z,82398311.4152,4.3109
2017-09-30,Business X,100774325.1369,4.3529
2017-09-30,Business Y,125176570.4378,4.3529
2017-09-30,Business Z,86697283.1371,4.3529
2017-10-31,Business X,84527829.5544,4.395
2017-10-31,Business Y,120801860.644,4.395
2017-10-31,Business Z,90312631.6013,4.395
2017-11-30,Business X,112045645.0787,4.437
2017-11-30,Business Y,153727380.8702,4.437
2017-11-30,Business Z,86862161.8526,4.437
2017-12-31,Business X,90056462.9442,4.479
2017-12-31,Business Y,135491898.4629,4.479
2017-12-31,Business Z,66169395.6066,4.479
2018-01-31,Business X,119332512.7468,4.521
2018-01-31,Business Y,136858572.4833,4.521
2018-01-31,Business Z,83106241.8169,4.521
2018-02-28,Business X,92854460.6993,4.563
2018-02-28,Business Y,151566812.2756,4.563
2018-02-28,Business Z,78062376.3549,4.563
2018-03-31,Business X,121624876.4044,4.605
2018-03-31,Business Y,151083610.1847,4.605
2018-03-31,Business Z,80671390.225,4.605
2018-04-30,Business X,101906634.8936,4.6471
2018-04-30,Business Y,133767986.2474,4.6471
2018-04-30,Business Z,82601451.6108,4.6471
2018-05-31,Business X,105725674.8078,4.6891
2018-05-31,Business Y,145598179.8821,4.6891
2018-05-31,Business Z,77958059.4652,4.6891
2018-06-30,Business X,102449434.009,4.7311
2018-06-30,Business Y,130312817.7073,4.7311
2018-06-30,Business Z,77591685.6211,4.7311
2018-07-31,Business X,109657275.615,4.7731
2018-07-31,Business Y,107312122.361,4.7731
2018-07-31,Business Z,81504854.9009,4.7731
2018-08-31,Business X,117542590.8625,4.8151
2018-08-31,Business Y,146279076.5,4.8151
2018-08-31,Business Z,90815461.1579,4.8151
2018-09-30,Business X,119062190.249,4.8571
2018-09-30,Business Y,133773562.4312,4.8571
2018-09-30,Business Z,88084261.8336,4.8571
2018-10-31,Business X,110183073.1705,4.8992
2018-10-31,Business Y,149961050.3986,4.8992
2018-10-31,Business Z,113276180.8768,4.8992
2018-11-30,Business X,107286773.6243,4.9412
2018-11-30,Business Y,123273422.6335,4.9412
2018-11-30,Business Z,83802956.9186,4.9412
2018-12-31,Business X,109753897.1446,4.9832
2018-12-31,Business Y,109090036.8508,4.9832
2018-12-31,Business Z,98557191.2484,4.9832
2019-01-31,Business X,118014378.5534,5.0252
2019-01-31,Business Y,155338380.1686,5.0252
2019-01-31,Business Z,92895431.4876,5.0252
2019-02-28,Business X,115702022.1926,5.0672
2019-02-28,Business Y,156203267.3912,5.0672
2019-02-28,Business Z,102596217.7159,5.0672
2019-03-31,Business X,110307573.4114,5.1092
2019-03-31,Business Y,128292231.9359,5.1092
2019-03-31,Business Z,82185735.4388,5.1092
2019-04-30,Business X,117794237.4623,5.1513
2019-04-30,Business Y,146721388.2822,5.1513
2019-04-30,Business Z,83276643.7664,5.1513
2019-05-31,Business X,107000891.8243,5.1933
2019-05-31,Business Y,141012368.9562,5.1933
2019-05-31,Business Z,93621860.1403,5.1933
2019-06-30,Business X,112904757.6392,5.2353
2019-06-30,Business Y,164525088.7439,5.2353
2019-06-30,Business Z,89878695.8172,5.2353
2019-07-31,Business X,115134131.706,5.2773
2019-07-31,Business Y,155972091.6627,5.2773
2019-07-31,Business Z,94542356.2548,5.2773
2019-08-31,Business X,127657879.0116,5.3193
2019-08-31,Business Y,128625681.0394,5.3193
2019-08-31,Business Z,83993942.5046,5.3193
2019-09-30,Business X,131932064.37,5.3613
2019-09-30,Business Y,161171431.9,5.3613
2019-09-30,Business Z,108803301.1215,5.3613
2019-10-31,Business X,122940179.5408,5.4034
2019-10-31,Business Y,175929146.783,5.4034
2019-10-31,Business Z,100003785.2391,5.4034
2019-11-30,Business X,117325700.9404,5.4454
2019-11-30,Business Y,129569363.3466,5.4454
2019-11-30,Business Z,109592516.3523,5.4454
2019-12-31,Business X,127160701.9854,5.4874
2019-12-31,Business Y,167306146.5616,5.4874
2019-12-31,Business Z,97903512.4522,5.4874
2020-01-31,Business X,128770204.2883,5.5294
2020-01-31,Business Y,157799435.5514,5.5294
2020-01-31,Business Z,120275605.4767,5.5294
2020-02-29,Business X,116687174.783,5.5714
2020-02-29,Business Y,152030260.4738,5.5714
2020-02-29,Business Z,98357981.1597,5.5714
2020-03-31,Business X,131382251.3656,5.6134
2020-03-31,Business Y,149373900.3093,5.6134
2020-03-31,Business Z,98585279.8549,5.6134
2020-04-30,Business X,129423113.4444,5.6555
2020-04-30,Business Y,165747253.6268,5.6555
2020-04-30,Business Z,101448388.363,5.6555
2020-05-31,Business X,142240091.2542,5.6975
2020-05-31,Business Y,141850072.589,5.6975
2020-05-31,Business Z,95908703.5982,5.6975
2020-06-30,Business X,123010992.9167,5.7395
2020-06-30,Business Y,169352594.8311,5.7395
2020-06-30,Business Z,104601498.8074,5.7395
2020-07-31,Business X,120958113.0852,5.7815
2020-07-31,Business Y,176551815.9111,5.7815
2020-07-31,Business Z,93363733.1973,5.7815
2020-08-31,Business X,121369513.7113,5.8235
2020-08-31,Business Y,145659884.4942,5.8235
2020-08-31,Business Z,96447369.6885,5.8235
2020-09-30,Business X,129711752.4598,5.8655
2020-09-30,Business Y,179971155.5536,5.8655
2020-09-30,Business Z,96858455.2948,5.8655
2020-10-31,Business X,132556215.1156,5.9076
2020-10-31,Business Y,172863355.1651,5.9076
2020-10-31,Business Z,112678013.8381,5.9076
2020-11-30,Business X,130325476.0294,5.9496
2020-11-30,Business Y,158284177.2735,5.9496
2020-11-30,Business Z,126528563.6909,5.9496
2020-12-31,Business X,126246749.3991,5.9916
2020-12-31,Business Y,141718353.9288,5.9916
2020-12-31,Business Z,95826101.0177,5.9916
2021-01-31,Business X,137122453.6784,6.0336
2021-01-31,Business Y,195138578.0628,6.0336
2021-01-31,Business Z,139947430.1056,6.0336
2021-02-28,Business X,124504518.9621,6.0756
2021-02-28,Business Y,171890102.4545,6.0756
2021-02-28,Business Z,110679379.9948,6.0756
2021-03-31,Business X,120748070.9819,6.1176
2021-03-31,Business Y,151026651.2802,6.1176
2021-03-31,Business Z,116405864.7123,6.1176
2021-04-30,Business X,146563227.9071,6.1597
2021-04-30,Business Y,187995766.2398,6.1597
2021-04-30,Business Z,121065620.7683,6.1597
2021-05-31,Business X,150237735.9526,6.2017
2021-05-31,Business Y,173826131.8921,6.2017
2021-05-31,Business Z,121309947.6181,6.2017
2021-06-30,Business X,138640821.7209,6.2437
2021-06-30,Business Y,192009529.2826,6.2437
2021-06-30,Business Z,107902581.4087,6.2437
2021-07-31,Business X,133958065.6209,6.2857
2021-07-31,Business Y,191311678.9145,6.2857
2021-07-31,Business Z,107363128.063,6.2857
2021-08-31,Business X,145757412.796,6.3277
2021-08-31,Business Y,182440826.0962,6.3277
2021-08-31,Business Z,109593682.7282,6.3277
2021-09-30,Business X,124465107.6607,6.3697
2021-09-30,Business Y,170735575.1447,6.3697
2021-09-30,Business Z,121534161.5632,6.3697
2021-10-31,Business X,146032995.373,6.4118
2021-10-31,Business Y,197298668.8827,6.4118
2021-10-31,Business Z,135804748.5827,6.4118
2021-11-30,Business X,142940324.4552,6.4538
2021-11-30,Business Y,200357479.5161,6.4538
2021-11-30,Business Z,124775431.9562,6.4538
2021-12-31,Business X,147793802.7873,6.4958
2021-12-31,Business Y,171574867.0458,6.4958
2021-12-31,Business Z,101228607.8634,6.4958
2022-01-31,Business X,149281383.7992,6.5378
2022-01-31,Business Y,205234754.1439,6.5378
2022-01-31,Business Z,90201372.4178,6.5378
2022-02-28,Business X,159017773.303,6.5798
2022-02-28,Business Y,176460337.331,6.5798
2022-02-28,Business Z,119595486.3453,6.5798
2022-03-31,Business X,154370444.6497,6.6218
2022-03-31,Business Y,182725460.1701,6.6218
2022-03-31,Business Z,114698153.7828,6.6218
2022-04-30,Business X,145771979.7656,6.6639
2022-04-30,Business Y,191577798.1507,6.6639
2022-04-30,Business Z,103915623.7822,6.6639
2022-05-31,Business X,151635589.8058,6.7059
2022-05-31,Business Y,168910226.9964,6.7059
2022-05-31,Business Z,123071278.0077,6.7059
2022-06-30,Business X,142191787.0897,6.7479
2022-06-30,Business Y,183185247.9817,6.7479
2022-06-30,Business Z,107335795.0054,6.7479
2022-07-31,Business X,162303838.0967,6.7899
2022-07-31,Business Y,207515715.5746,6.7899
2022-07-31,Business Z,112353177.6245,6.7899
2022-08-31,Business X,141448558.1251,6.8319
2022-08-31,Business Y,206612556.8081,6.8319
2022-08-31,Business Z,99184492.0441,6.8319
2022-09-30,Business X,161501944.3393,6.8739
2022-09-30,Business Y,185598168.8229,6.8739
2022-09-30,Business Z,114426112.3928,6.8739
2022-10-31,Business X,157464105.7847,6.916
2022-10-31,Business Y,170176493.6753,6.916
2022-10-31,Business Z,133224686.3557,6.916
2022-11-30,Business X,164707710.5147,6.958
2022-11-30,Business Y,186695181.4693,6.958
2022-11-30,Business Z,116773286.0934,6.958
2022-12-31,Business X,150260088.8811,7.0
2022-12-31,Business Y,183932896.8205,7.0
2022-12-31,Business Z,108471971.7111,7.0
