Date,Business,Revenue,GDP
2017-10-31,biz B,184.3742,7.395
2017-10-31,biz C,159.0093,7.395
2017-10-31,biz D,164.8055,7.395
2017-10-31,biz E,73.8382,7.395
2017-11-30,biz A,220.2435,7.437
2017-11-30,biz B,201.0958,7.437
2017-11-30,biz C,151.9927,7.437
2017-11-30,biz D,132.1618,7.437
2017-11-30,biz E,184.0109,7.437
2017-12-31,biz A,120.7547,7.479
2017-12-31,biz B,214.861,7.479
2017-12-31,biz C,172.2707,7.479
2017-12-31,biz D,146.1376,7.479
2017-12-31,biz E,90.5352,7.479
2018-01-31,biz A,105.0618,7.521
2018-01-31,biz B,205.2924,7.521
2018-01-31,biz C,173.0291,7.521
2018-01-31,biz D,159.5151,7.521
2018-01-31,biz E,78.5333,7.521
2018-02-28,biz A,132.5733,7.563
2018-02-28,biz B,202.3214,7.563
2018-02-28,biz C,178.0974,7.563
2018-02-28,biz D,170.5607,7.563
2018-02-28,biz E,85.102,7.563
2018-03-31,biz A,127.8614,7.605
2018-03-31,biz B,169.7378,7.605
2018-03-31,biz C,162.2125,7.605
2018-03-31,biz D,144.6927,7.605
2018-03-31,biz E,95.9774,7.605
2018-04-30,biz A,210.1901,7.6471
2018-04-30,biz B,193.6903,7.6471
2018-04-30,biz C,253.0374,7.6471
2018-04-30,biz D,142.9598,7.6471
2018-04-30,biz E,88.3282,7.6471
2018-05-31,biz A,120.1052,7.6891
2018-05-31,biz B,203.2965,7.6891
2018-05-31,biz C,154.715,7.6891
2018-05-31,biz D,160.7567,7.6891
2018-05-31,biz E,81.9229,7.6891
2018-06-30,biz A,132.1796,7.7311
2018-06-30,biz B,182.4585,7.7311
2018-06-30,biz C,165.8911,7.7311
2018-06-30,biz D,145.2775,7.7311
2018-06-30,biz E,80.8526,7.7311
2018-07-31,biz A,116.5202,7.7731
2018-07-31,biz B,206.8559,7.7731
2018-07-31,biz C,342.67,7.7731
2018-07-31,biz D,147.2843,7.7731
2018-07-31,biz E,77.35,7.7731
2018-08-31,biz A,119.8568,7.8151
2018-08-31,biz B,192.3029,7.8151
2018-08-31,biz C,155.521,7.8151
2018-08-31,biz D,143.5889,7.8151
2018-08-31,biz E,87.6755,7.8151
2018-09-30,biz A,109.6487,7.8571
2018-09-30,biz B,193.4792,7.8571
2018-09-30,biz C,154.2936,7.8571
2018-09-30,biz D,142.3174,7.8571
2018-09-30,biz E,166.2533,7.8571
2018-10-31,biz A,113.7613,7.8992
2018-10-31,biz B,190.3606,7.8992
2018-10-31,biz C,176.4165,7.8992
2018-10-31,biz D,140.898,7.8992
2018-10-31,biz E,152.1152,7.8992
2018-11-30,biz A,127.341,7.9412
2018-11-30,biz B,214.1612,7.9412
2018-11-30,biz C,175.5681,7.9412
2018-11-30,biz D,159.7867,7.9412
2018-11-30,biz E,80.3266,7.9412
2018-12-31,biz A,299.3003,7.9832
2018-12-31,biz B,224.3591,7.9832
2018-12-31,biz C,175.5296,7.9832
2018-12-31,biz D,154.0925,7.9832
2018-12-31,biz E,63.9954,7.9832
2019-01-31,biz A,133.1919,8.0252
2019-01-31,biz B,215.4426,8.0252
2019-01-31,biz C,205.1631,8.0252
2019-01-31,biz D,146.5692,8.0252
2019-01-31,biz E,95.2548,8.0252
2019-02-28,biz A,126.4118,8.0672
2019-02-28,biz B,213.2493,8.0672
2019-02-28,biz C,170.7587,8.0672
2019-02-28,biz D,243.5358,8.0672
2019-02-28,biz E,94.5652,8.0672
2019-03-31,biz A,134.3703,8.1092
2019-03-31,biz B,205.5715,8.1092
2019-03-31,biz C,186.1916,8.1092
2019-03-31,biz D,162.3928,8.1092
2019-03-31,biz E,82.6296,8.1092
2019-04-30,biz A,128.8298,8.1513
2019-04-30,biz B,219.1579,8.1513
2019-04-30,biz C,188.2528,8.1513
2019-04-30,biz D,163.7364,8.1513
2019-04-30,biz E,210.316,8.1513
2019-05-31,biz A,144.6371,8.1933
2019-05-31,biz B,219.4904,8.1933
2019-05-31,biz C,375.9886,8.1933
2019-05-31,biz D,160.0027,8.1933
2019-05-31,biz E,95.619,8.1933
2019-06-30,biz A,130.1818,8.2353
2019-06-30,biz B,509.5813,8.2353
2019-06-30,biz C,221.3665,8.2353
2019-06-30,biz D,165.1707,8.2353
2019-06-30,biz E,79.7247,8.2353
2019-07-31,biz A,142.51,8.2773
2019-07-31,biz B,208.3472,8.2773
2019-07-31,biz C,178.536,8.2773
2019-07-31,biz D,148.2543,8.2773
2019-07-31,biz E,87.0272,8.2773
2019-08-31,biz A,126.7777,8.3193
2019-08-31,biz B,220.9677,8.3193
2019-08-31,biz C,154.7854,8.3193
2019-08-31,biz D,335.0123,8.3193
2019-08-31,biz E,90.1284,8.3193
2019-09-30,biz A,135.5779,8.3613
2019-09-30,biz B,212.6025,8.3613
2019-09-30,biz C,181.9889,8.3613
2019-09-30,biz D,147.3549,8.3613
2019-09-30,biz E,85.1668,8.3613
2019-10-31,biz A,191.0091,8.4034
2019-10-31,biz B,234.4977,8.4034
2019-10-31,biz C,158.1888,8.4034
2019-10-31,biz D,171.5583,8.4034
2019-10-31,biz E,81.4555,8.4034
2019-11-30,biz A,314.6777,8.4454
2019-11-30,biz B,254.127,8.4454
2019-11-30,biz C,176.2886,8.4454
2019-11-30,biz D,155.5387,8.4454
2019-11-30,biz E,81.6119,8.4454
2019-12-31,biz A,145.5131,8.4874
2019-12-31,biz B,258.9339,8.4874
2019-12-31,biz C,321.7666,8.4874
2019-12-31,biz D,161.9633,8.4874
2019-12-31,biz E,161.8843,8.4874
2020-01-31,biz A,137.6469,8.5294
2020-01-31,biz B,242.5312,8.5294
2020-01-31,biz C,168.848,8.5294
2020-01-31,biz D,166.4752,8.5294
2020-01-31,biz E,88.3713,8.5294
2020-02-29,biz A,152.2267,8.5714
2020-02-29,biz B,226.9014,8.5714
2020-02-29,biz C,189.6988,8.5714
2020-02-29,biz D,146.7606,8.5714
2020-02-29,biz E,94.0913,8.5714
2020-03-31,biz A,145.3439,8.6134
2020-03-31,biz B,471.0214,8.6134
2020-03-31,biz C,203.6034,8.6134
2020-03-31,biz D,170.2884,8.6134
2020-03-31,biz E,76.7736,8.6134
2020-04-30,biz A,145.2357,8.6555
2020-04-30,biz B,240.9871,8.6555
2020-04-30,biz C,455.4378,8.6555
2020-04-30,biz D,163.9242,8.6555
2020-04-30,biz E,90.476,8.6555
2020-05-31,biz A,154.7876,8.6975
2020-05-31,biz B,234.4755,8.6975
2020-05-31,biz C,176.9091,8.6975
2020-05-31,biz D,158.8468,8.6975
2020-05-31,biz E,82.2301,8.6975
2020-06-30,biz A,141.2099,8.7395
2020-06-30,biz B,247.8977,8.7395
2020-06-30,biz C,182.3045,8.7395
2020-06-30,biz D,187.3244,8.7395
2020-06-30,biz E,90.6677,8.7395
2020-07-31,biz A,137.4318,8.7815
2020-07-31,biz B,243.3747,8.7815
2020-07-31,biz C,179.9794,8.7815
2020-07-31,biz D,179.866,8.7815
2020-07-31,biz E,88.3256,8.7815
2020-08-31,biz A,136.3074,8.8235
2020-08-31,biz B,230.5181,8.8235
2020-08-31,biz C,187.4201,8.8235
2020-08-31,biz D,159.2566,8.8235
2020-08-31,biz E,100.7147,8.8235
2020-09-30,biz A,148.1598,8.8655
2020-09-30,biz B,231.5396,8.8655
2020-09-30,biz C,170.7187,8.8655
2020-09-30,biz D,156.2365,8.8655
2020-09-30,biz E,90.7511,8.8655
2020-10-31,biz A,140.829,8.9076
2020-10-31,biz B,565.8388,8.9076
2020-10-31,biz C,182.4405,8.9076
2020-10-31,biz D,367.2282,8.9076
2020-10-31,biz E,88.7224,8.9076
2020-11-30,biz A,135.569,8.9496
2020-11-30,biz B,224.8497,8.9496
2020-11-30,biz C,188.9459,8.9496
2020-11-30,biz D,153.6619,8.9496
2020-11-30,biz E,96.989,8.9496
2020-12-31,biz A,153.5304,8.9916
2020-12-31,biz B,239.1671,8.9916
2020-12-31,biz C,191.8497,8.9916
2020-12-31,biz D,157.9806,8.9916
2020-12-31,biz E,93.748,8.9916
2021-01-31,biz A,154.4815,9.0336
2021-01-31,biz B,237.5732,9.0336
2021-01-31,biz C,190.9573,9.0336
2021-01-31,biz D,171.8474,9.0336
2021-01-31,biz E,99.8289,9.0336
2021-02-28,biz A,127.2632,9.0756
2021-02-28,biz B,257.6717,9.0756
2021-02-28,biz C,200.6289,9.0756
2021-02-28,biz D,173.2448,9.0756
2021-02-28,biz E,104.1222,9.0756
2021-03-31,biz A,141.1735,9.1176
2021-03-31,biz B,557.3475,9.1176
2021-03-31,biz C,180.2712,9.1176
2021-03-31,biz D,177.5658,9.1176
2021-03-31,biz E,90.6495,9.1176
2021-04-30,biz A,151.3823,9.1597
2021-04-30,biz B,224.6707,9.1597
2021-04-30,biz C,167.0336,9.1597
2021-04-30,biz D,333.2477,9.1597
2021-04-30,biz E,116.7363,9.1597
2021-05-31,biz A,141.2494,9.2017
2021-05-31,biz B,517.4919,9.2017
2021-05-31,biz C,196.1783,9.2017
2021-05-31,biz D,180.1052,9.2017
2021-05-31,biz E,75.658,9.2017
2021-06-30,biz A,159.2769,9.2437
2021-06-30,biz B,246.5552,9.2437
2021-06-30,biz C,195.4474,9.2437
2021-06-30,biz D,167.8167,9.2437
2021-06-30,biz E,110.1826,9.2437
2021-07-31,biz A,147.7434,9.2857
2021-07-31,biz B,238.2499,9.2857
2021-07-31,biz C,183.0978,9.2857
2021-07-31,biz D,350.7077,9.2857
2021-07-31,biz E,98.072,9.2857
2021-08-31,biz A,148.4559,9.3277
2021-08-31,biz B,246.9702,9.3277
2021-08-31,biz C,378.9087,9.3277
2021-08-31,biz D,177.9312,9.3277
2021-08-31,biz E,91.0416,9.3277
2021-09-30,biz A,148.7056,9.3697
2021-09-30,biz B,236.3384,9.3697
2021-09-30,biz C,182.6044,9.3697
2021-09-30,biz D,164.1911,9.3697
2021-09-30,biz E,98.8899,9.3697
2021-10-31,biz A,147.9998,9.4118
2021-10-31,biz B,250.6284,9.4118
2021-10-31,biz C,189.8407,9.4118
2021-10-31,biz D,174.0823,9.4118
2021-10-31,biz E,92.0282,9.4118
2021-11-30,biz A,135.1304,9.4538
2021-11-30,biz B,249.4502,9.4538
2021-11-30,biz C,192.7415,9.4538
2021-11-30,biz D,184.176,9.4538
2021-11-30,biz E,92.3328,9.4538
2021-12-31,biz A,145.1817,9.4958
2021-12-31,biz B,260.5488,9.4958
2021-12-31,biz C,208.3022,9.4958
2021-12-31,biz D,188.6368,9.4958
2021-12-31,biz E,101.004,9.4958
2022-01-31,biz A,148.8663,9.5378
2022-01-31,biz B,260.4264,9.5378
2022-01-31,biz C,211.4104,9.5378
2022-01-31,biz D,187.2114,9.5378
2022-01-31,biz E,110.9473,9.5378
2022-02-28,biz A,159.0369,9.5798
2022-02-28,biz B,253.4472,9.5798
2022-02-28,biz C,173.4669,9.5798
2022-02-28,biz D,192.0866,9.5798
2022-02-28,biz E,106.3165,9.5798
2022-03-31,biz A,384.7892,9.6218
2022-03-31,biz B,452.6654,9.6218
2022-03-31,biz C,419.1362,9.6218
2022-03-31,biz D,195.0769,9.6218
2022-03-31,biz E,108.6332,9.6218
2022-04-30,biz A,154.8638,9.6639
2022-04-30,biz B,416.8396,9.6639
2022-04-30,biz C,206.4472,9.6639
2022-04-30,biz D,186.0012,9.6639
2022-04-30,biz E,103.8085,9.6639
2022-05-31,biz A,150.5354,9.7059
2022-05-31,biz B,263.9718,9.7059
2022-05-31,biz C,205.7433,9.7059
2022-05-31,biz D,182.4197,9.7059
2022-05-31,biz E,105.3727,9.7059
2022-06-30,biz A,149.9374,9.7479
2022-06-30,biz B,254.1216,9.7479
2022-06-30,biz C,196.0996,9.7479
2022-06-30,biz D,201.4386,9.7479
2022-06-30,biz E,99.948,9.7479
2022-07-31,biz A,165.4324,9.7899
2022-07-31,biz B,245.3885,9.7899
2022-07-31,biz C,188.7902,9.7899
2022-07-31,biz D,175.3467,9.7899
2022-07-31,biz E,106.8741,9.7899
2022-08-31,biz A,159.6715,9.8319
2022-08-31,biz B,256.6187,9.8319
2022-08-31,biz C,209.9623,9.8319
2022-08-31,biz D,175.5861,9.8319
2022-08-31,biz E,102.8978,9.8319
2022-09-30,biz A,154.9401,9.8739
2022-09-30,biz B,252.9581,9.8739
2022-09-30,biz C,198.1683,9.8739
2022-09-30,biz D,186.5256,9.8739
2022-09-30,biz E,87.8932,9.8739
2022-10-31,biz A,320.6373,9.916
2022-10-31,biz B,227.6459,9.916
2022-10-31,biz C,227.191,9.916
2022-10-31,biz D,183.2711,9.916
2022-10-31,biz E,90.4147,9.916
2022-11-30,biz A,152.663,9.958
2022-11-30,biz B,258.9309,9.958
2022-11-30,biz C,421.1318,9.958
2022-11-30,biz D,185.2346,9.958
2022-11-30,biz E,106.3109,9.958
2022-12-31,biz A,171.6574,10.0
2022-12-31,biz B,291.0097,10.0
2022-12-31,biz C,199.0861,10.0
2022-12-31,biz D,167.1894,10.0
2022-12-31,biz E,101.038,10.0
